Date,Ret_Lag_1,Ret_Lag_2,Ret_Lag_3,Ret_Lag_7,Ret_Lag_14,Ret_Lag_30,Close_to_MA_7,Close_to_MA_30,Close_to_MA_90,Vol_7,Vol_30,Mom_30,HL_Range,Volume_Change,Target,Close,DOW_Monday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday,Split
2018-06-13,-1.4300937722040354,-1.7456871843679906,0.41620825889239504,0.051174431351869096,0.4539600807663837,-0.8870018830858656,-2.1895434219821555,-1.6836100390640802,-1.2532712829834576,0.42270682858688574,-0.22660328312483324,-1.687586095040207,0.9294862614406395,1.2786197913418196,0.05230666919830007,6307.4,0,0,0,0,0,1,train
2018-06-14,1.720127259633062,-1.42943643633296,-1.7453716816385534,-0.40755537760816196,0.0024344242624909627,-0.6119931758315927,-0.9733442809622294,-1.2440739541179018,-1.0776431377635434,0.9589476373122672,-0.09917293730327982,-1.3469629161022918,0.49207181595885335,-0.4924405585385624,-0.039202055768763344,6646.1,0,0,0,1,0,0,train
2018-06-15,-1.4401173921115347,1.7198493778251334,-1.4292211649999742,-0.6593345657933479,0.5067725870572342,-1.2594673639516327,-1.2632574945763988,-1.469565168225312,-1.1984107972701723,0.9662663843540829,-0.068695412590321,-1.4548662291311125,-0.1068768690594182,-1.1252538877567662,0.01511382558582497,6390.6,0,0,0,0,0,0,train
2018-06-16,0.43567613049971354,-1.4394570804916307,1.7190665256218458,-2.0802003495082984,0.19065955375347177,0.6813939630005992,-0.46298122331605446,-1.3063031224957398,-1.1422283320240685,1.0962379382187062,-0.07333344719194124,-1.2331531292576436,-0.4734088049359284,-1.1399273541296766,-0.005333313005822404,6487.92,0,1,0,0,0,0,train
2018-06-17,-0.2704637528938316,0.4357795684124147,-1.439238633251035,0.41523424486168314,-1.0636062252221505,-0.16010116568331711,-0.4227587363242746,-1.2856821329888106,-1.149880275783055,0.3285959681673779,-0.10382029288425572,-1.3576843898264097,-0.8412778743170594,-0.37081510080427177,0.03861763004260155,6453.41,0,0,1,0,0,0,train
2018-06-18,1.2473776634072442,-0.2701506806424204,0.435403684764738,-1.7448056635266167,0.5055294549875464,1.095173039579078,0.5411775304636898,-0.9379828148365089,-1.0121223169042057,0.5119174728267021,-0.03301909239318433,-1.1739267637661062,0.3553146765914001,1.2215529602126183,0.004317167792480703,6707.5,1,0,0,0,0,0,train
2018-06-19,0.0628146349383491,1.2472401285069339,-0.27030282924725624,-1.4288803904464222,0.09680981764842564,-0.6023935828041913,0.5504290369231674,-0.8399179158776495,-0.9873030576281011,0.2308637082877257,-0.08670570467509497,-1.3091186424059154,-0.7080040122108407,-0.13960722606428727,0.0029733737657196,6736.52,0,0,0,0,1,0,train
2018-06-20,0.016406842810913994,0.0630287656116359,1.2466070634119122,1.7171642814709074,0.051592583831497896,-1.801277525924323,0.3930182609767372,-0.7562758436604936,-0.9678718451975832,-0.06318157386522961,-0.08485243286743961,-1.2281493142073534,-0.3964015295302999,-0.07346725804184963,-0.005677233129746995,6756.58,0,0,0,0,0,1,train
2018-06-21,-0.28234099992848566,0.016634750735765837,0.06277102028845406,-1.438890721684965,-0.40674823453109754,-2.0801922668605197,0.2266216630449791,-0.7546354287032799,-0.9767053448870114,-0.41570351413619533,-0.1496002043562454,-1.029238119597927,-1.0149006298243892,-0.11303335622083228,-0.10470696230412457,6718.33,0,0,0,1,0,0,train
2018-06-22,-2.0794756103812393,-0.2820244016351579,0.016391709367995624,0.4344159948239749,-0.6583139207050319,0.2971141411327682,-1.8970472790098094,-1.5001549250185438,-1.3049326620613741,0.7907539595818771,0.06854660930318467,-1.2210365145511994,2.3381093210592003,2.209888470016543,0.020761583916108606,6050.45,0,0,0,0,0,0,train
